name,yrnom,posit,recess,success,id,analu,seatid,spaethid,zukid,birdate,biryear,birthcit,birthst,childcit,childst,childsur,famses,famjud,nomrelig,natorig,race,gender,mothname,fathname,fathoccu,fathpol,fathpoln,undsch,undsta,unddat,undschn,gradsch,gradsta,graddat,gradschn,lawsch,lawsta,lawdat,lawschn,read,readst,readyr,readn,marryn,spouse,marryr,child,militbr,milityrs,militran,militwar,clerkj,clerkyrs,barst1,baryr1,barst2,baryr2,barst3,baryr3,privtyp1,privst1,privyrs1,privtyp2,privst2,privyrs2,schname1,schrank1,schyrs1,schname2,schrank2,schyrs2,schn,schcon,sttrist,sttriyrs,stapst,stapyrs,stsupst,stsupyrs,feddist,feddi,feddiyrs,fedca,fedcayrs,usasat,usasatyrs,usat,usatyrs,ussgoyrs,ussgyrs,usagoyrs,usagyrs,uscab,uscabyrs,ussec,ussecyrs,usage,usageyrs,usagh,usaghyrs,uspresyrs,ushr1,ushryrs1,ushr2,ushryrs2,ussn1,ussnyrs1,ussn2,ussnyrs2,conconv,concong,concongyrs,artcon,artconyrs,artconsp,citat,citatyrs,cdep,cdepyrs,cdis,cdisyrs,saag,saagyrs,stag,stagyrs,ltgov,ltgov1,ltgov2,gov,govyrs,stcab,stcabyrs,mayor,mayoryrs,stsenate,stsenyrs,sthouse,sthseyrs,ctycl,ctyclyrs,commsn,commsnyrs,datenom,datesen,judnom,usjnom,stjnom,prsznom,prstnom,prposnom,prschnom,govatnom,uslenom,uslesnom,stlenom,stlesnom,stexpnom,stexsnom,usexnom,yrposnom,agenom,stnom,parnom,prparnom,prdssr,presname,prespart,nompres,socpres,econpres,congress,senparty,nomsen,ideo,mednmq1,medmq1,mednmq2,medmq2,qual,abarate,abavote,heardate,heardays,comdvote,comvote,intpro,intanti,sendate,senact,sensupp,senopp,serve,withdraw,dateserb,datesere,agedep,reasdep,postdep,scssr,deathd,deathcit,deathst,deathag
"Johnson, William",1804,1,0,1,22,1,6.04,15,888,12/27/1771,1771,349,40,349,40,5,4,0,10,5,0,0,"Nightingale, Sarah","Johnson, William",4,11,1,85,2,1790,1,888,888,888,888,888,888,888,888,"Pinckney, Charles",40,1793,1,1,"Bennett, Sarah",1794,10,888,0,888,888,888,0,40,1793,888,888,888,888,1,40,6,777,777,0,888,888,0,888,888,0,888,888,888,0,888,0,40,5,888,888,0,888,0,888,0,888,0,0,0,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,888,888,0,888,0,888,0,888,0,888,0,888,888,888,888,0,888,0,888,0,888,0,40,5,888,0,888,0,03/22/1804,03/22/1804,6,888,40,888,888,888,888,888,888,888,888,888,888,888,888,5,32,40,2,888,"Moore, Alfred",3,2,0.017999999,888,888,8,2,-0.163499996,888,888,888,888,888,888,888,888,999. PREDATE,999,999. PREDATE,999,888,888,03/24/1804,1,666,666,1,888. NOMINATION NOT WITHDRAWN,05/07/1804,08/04/1834,62,3,777,"Wayne, James Moore",08/04/1834,272,32,62
"Livingston, Henry Brockholst",1806,1,1,888,23,1,2.06,16,888,11/25/1757,1757,282,32,282,32,5,5,1,10,20,0,0,"French, Susanna","Livingston, William",19,9,1,85,2,1774,1,888,888,888,888,888,888,888,888,"Yates, Peter",32,1783,1,3,"Kortright, Catharine",999,11,5,3,9,1,888,0,32,1783,888,888,888,888,1,32,19,777,777,0,888,888,0,888,888,0,888,888,888,0,888,0,32,5,888,888,0,888,0,888,0,888,0,0,0,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,888,888,0,888,0,888,0,888,0,888,0,888,888,888,888,0,888,0,888,0,888,0,32,3,888,0,888,0,11/10/1806,RECESS APPT,6,888,32,888,888,888,888,888,888,888,888,888,888,888,888,4,48,32,2,3,"Paterson, William",3,2,0.017999999,888,888,9,2,-0.046999998,888,888,888,888,888,777,777,777,777. RECESS APPOINTMENT,777,777. RECESS APPOINTMENT,777,777,777,777. RECESS APPT,777,777,777,777,777. RECESS APPOINTMENT,01/20/1807,02/02/1807,49,13,9,666. RECESS APPOINTEE REPLACED HIMSELF,03/18/1823,55,51,65
"Livingston, Henry Brockholst",1806,1,0,1,24,2,2.07,16,888,11/25/1757,1757,282,32,282,32,5,5,1,10,20,0,0,"French, Susanna","Livingston, William",19,9,1,85,2,1774,1,888,888,888,888,888,888,888,888,"Yates, Peter",32,1783,1,3,"Kortright, Catharine",999,11,5,3,9,1,888,0,32,1783,888,888,888,888,1,32,19,777,777,0,888,888,0,888,888,0,888,888,888,0,888,0,32,5,888,888,0,888,0,888,0,888,0,0,0,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,888,888,0,888,0,888,0,888,0,888,0,888,888,888,888,0,888,0,888,0,888,0,32,3,888,0,888,0,12/15/1806,12/15/1806,9,1,888,888,888,888,888,888,888,888,888,888,888,888,888,1,49,32,2,3,"Paterson, William",3,2,0.017999999,888,888,9,2,-0.046999998,888,888,888,888,888,888,888,888,999. PREDATE,999,999. PREDATE,999,888,888,12/17/1806,1,666,666,1,888. NOMINATION NOT WITHDRAWN,02/02/1807,03/18/1823,65,3,777,"Thompson, Smith",03/18/1823,55,51,65
"Todd, Thomas",1807,1,0,1,25,1,7.01,17,888,01/23/1765,1765,392,46,392,46,2,2,0,10,4,0,0,"Richards, Elizabeth","Todd, Richard",28,12,1,110,2,1783,1,888,888,888,888,888,888,888,888,"Innes, Harry",46,1788,1,2,"Payne, Lucy",1812,8,5,0,14,1,888,0,46,1788,888,888,888,888,1,17,13,777,777,0,888,888,0,888,888,0,888,888,888,0,888,0,17,6,888,888,0,888,0,888,0,888,0,0,0,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,888,888,0,888,0,888,0,888,0,888,0,888,888,888,888,0,888,0,888,0,888,0,888,0,888,0,888,0,02/28/1807,02/28/1807,6,888,17,888,888,888,888,888,888,888,888,888,888,888,888,6,42,17,2,888,NEWLY CREATED SEAT,3,2,0.017999999,888,888,9,2,-0.046999998,888,888,888,888,888,888,888,888,999. PREDATE,999,999. PREDATE,999,888,888,03/02/1807,1,666,666,1,888. NOMINATION NOT WITHDRAWN,05/04/1807,02/07/1826,61,3,777,"Trimble, Robert",02/07/1826,118,17,61
"Lincoln, Levi",1811,1,0,0,26,1,3.02,888,888,05/15/1749,1749,182,21,182,21,1,2,0,11,4,0,0,"Fearing, Rachel","Lincoln, Enoch",15,888,888,47,2,1772,1,888,888,888,888,888,888,888,888,"Howley, Joseph",21,1775,1,1,"Waldo, Martha",1781,9,11,0,999,1,888,0,21,1775,888,888,888,888,1,21,24,777,777,0,888,888,0,888,888,0,888,888,21,4,888,0,888,0,888,888,0,888,0,888,0,888,0,0,0,0,4,888,0,23,0,888,0,888,0,0,21,1,777,0,888,0,888,0,0,888,0,888,0,888,888,0,888,0,888,0,888,0,888,0,21,1807,1808,21,1,21,5,888,0,21,0,21,0,888,0,888,0,01/02/1811,01/02/1811,888,888,888,888,888,888,888,888,888,888,888,888,2,21,888,2,61,21,2,888,"Cushing, William",4,2,0.137999997,888,888,11,2,-0.015,888,888,888,888,888,888,888,888,999. PREDATE,999,999. PREDATE,999,888,888,01/03/1811,1,666,666,2,888. NOMINATION NOT WITHDRAWN,888. NOT CONFIRMED OR DIDN'T SERVE,888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE,888,888,888,888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE,04/14/1820,194,21,70
"Wolcott, Alexander",1811,1,0,0,27,1,3.03,888,888,09/15/1758,1758,47,7,47,7,3,5,999,999,4,0,0,"Richards, Mary","Wolcott, Alexander",26,999,999,117,2,1778,999,888,888,888,888,999,999,999,999,999. UNKNOWN,999,999,999,1,"Burbank, Frances",1785,999,999,0,999,999,888,0,999,999,999,999,999,999,999,7,0,999,999,0,999,999,0,999,999,0,999,999,7,0,999,0,999,0,888,888,0,888,0,999,0,999,0,0,0,0,0,999,0,888,0,2,10,999,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,888,999,0,999,0,999,0,999,0,999,0,999,999,999,999,0,999,0,999,0,999,0,999,0,999,0,999,0,02/04/1811,02/04/1811,888,888,888,888,888,888,888,888,888,888,888,888,888,888,5,10,52,7,2,888,"Cushing, William",4,2,0.137999997,888,888,11,2,-0.015,888,888,888,888,888,888,888,888,666. NO RECORD OF HEARING,666,02/13/1811,1,888,888,02/13/1811,4,9,24,3,888. NOMINATION NOT WITHDRAWN,888. NOT CONFIRMED OR DIDN'T SERVE,888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE,888,888,888,888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE,06/26/1828,43,7,69
"Adams, John Quincy",1811,1,0,0,28,1,3.04,888,888,07/11/1767,1767,177,21,177,21,1,4,0,14,4,0,0,"Smith, Abigail","Adams, John",20,6,6,47,2,1788,1,888,888,888,888,888,888,888,888,"Parsons, Theophilus",21,1790,1,1,"Johnson, Louisa Catherine",1797,4,888,0,888,888,888,0,21,1790,888,888,888,888,1,21,4,1,21,2,888,888,0,888,888,0,888,888,888,0,888,0,888,0,888,888,0,888,0,888,0,888,0,0,0,0,0,23,7,888,0,888,0,888,0,0,888,0,888,0,21,5,777,0,0,888,0,888,0,888,888,0,888,0,888,0,888,0,888,0,888,888,888,888,0,888,0,888,0,21,1,888,0,888,0,888,0,02/21/1811,02/21/1811,888,888,888,888,888,888,888,888,888,888,888,888,888,888,2,3,43,21,2,3,"Cushing, William",4,2,0.137999997,888,888,11,2,-0.015,888,888,888,888,888,888,888,888,999. PREDATE,999,999. PREDATE,999,888,888,02/22/1811,1,666,666,2,888. NOMINATION NOT WITHDRAWN,888. NOT CONFIRMED OR DIDN'T SERVE,888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE,888,888,888,888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE,02/23/1848,55,51,80
"Duvall, Gabriel",1811,1,0,1,29,1,5.03,18,888,12/06/1752,1752,166,20,161,20,6,5,0,6,11,0,0,"Tyler, Susanna","Duvall, Benjamin",28,999,999,888,888,888,888,888,888,888,888,888,888,888,888,Unspecified local attorneys,20,1778,2,2,"Gibbon, Jane",1795,1,5,5,12,1,888,0,20,1778,888,888,888,888,1,20,16,777,777,0,888,888,0,888,888,0,888,888,20,6,888,0,888,0,888,888,0,888,0,888,0,888,0,0,0,0,0,24,9,888,0,888,0,888,0,0,20,2,777,0,888,0,888,0,0,888,0,888,0,888,888,0,888,0,888,0,888,0,888,0,888,888,888,888,0,20,3,888,0,888,0,20,7,888,0,888,0,11/15/1811,11/15/1811,888,888,888,888,888,888,888,888,888,888,888,888,888,888,1,9,58,20,2,888,"Chase, Samuel",4,2,0.137999997,888,888,12,2,-0.068000004,888,888,888,888,888,888,888,888,999. PREDATE,999,999. PREDATE,999,888,888,11/18/1811,1,666,666,1,888. NOMINATION NOT WITHDRAWN,11/23/1811,01/14/1835,82,1,777,"Barbour, Philip Pendelton",03/06/1844,166,20,91
"Story, Joseph",1811,1,0,1,30,1,3.05,19,888,09/18/1779,1779,183,21,183,21,3,5,1,14,4,0,0,"Pedrick, Mehitable","Story, Elisha",26,888,888,47,2,1798,1,888,888,888,888,888,888,888,888,"Putnam, Samuel",21,1801,2,2,"Wetmore, Sarah Waldo",1808,7,888,0,888,888,888,0,21,1801,888,888,888,888,1,21,7,1,21,1,888,888,0,888,888,0,888,888,888,0,888,0,888,0,888,888,0,888,0,888,0,888,0,0,0,0,0,888,0,888,0,888,0,888,0,0,21,1,777,0,888,0,888,0,0,888,0,888,0,888,888,0,888,0,888,0,888,0,888,0,888,888,888,888,0,888,0,888,0,888,0,21,3,888,0,888,0,11/15/1811,11/15/1811,888,888,888,888,888,888,888,888,888,888,1,21,888,888,888,1,32,21,2,888,"Cushing, William",4,2,0.137999997,888,888,12,2,-0.068000004,888,888,888,888,888,888,888,888,999. PREDATE,999,999. PREDATE,999,888,888,11/18/1811,1,666,666,1,888. NOMINATION NOT WITHDRAWN,02/03/1812,09/10/1845,65,3,777,"Woodbury, Levi",09/10/1845,178,21,65
"Thompson, Smith",1823,1,1,888,31,1,2.08,20,888,01/17/1768,1768,274,32,274,32,2,4,0,10,4,0,0,"Smith, Rachel","Thompson, Ezra",13,12,1,85,2,1788,1,888,888,888,888,888,888,888,888,"Kent, James",32,1792,2,2,"Livingston, Eliza",1836,7,888,0,888,888,888,0,32,1792,888,888,888,888,3,32,9,777,777,0,888,888,0,888,888,0,888,888,888,0,888,0,32,16,888,888,0,888,0,888,0,888,0,0,0,0,0,888,0,16,4,888,0,888,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,888,888,0,888,0,888,0,888,0,888,0,888,888,888,888,0,888,0,888,0,888,0,32,0,888,0,15,0,09/01/1823,RECESS APPT,888,888,888,888,888,888,888,888,888,888,888,888,888,888,10,4,55,32,2,888,"Livingston, Henry Brockholst",5,2,0.129999995,888,888,18,1,0.043000001,888,888,888,888,888,777,777,777,777. RECESS APPOINTMENT,777,777. RECESS APPOINTMENT,777,777,777,777. RECESS APPT,777,777,777,777,777. RECESS APPOINTMENT,09/01/1823,02/10/1824,56,13,9,666. RECESS APPOINTEE REPLACED HIMSELF,12/18/1843,285,32,75
"Thompson, Smith",1823,1,0,1,32,2,2.09,20,888,01/17/1768,1768,274,32,274,32,2,4,0,10,4,0,0,"Smith, Rachel","Thompson, Ezra",13,12,1,85,2,1788,1,888,888,888,888,888,888,888,888,"Kent, James",32,1792,2,2,"Livingston, Eliza",1836,7,888,0,888,888,888,0,32,1792,888,888,888,888,3,32,9,777,777,0,888,888,0,888,888,0,888,888,888,0,888,0,32,16,888,888,0,888,0,888,0,888,0,0,0,0,0,888,0,16,4,888,0,888,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,888,888,0,888,0,888,0,888,0,888,0,888,888,888,888,0,888,0,888,0,888,0,32,0,888,0,15,0,12/05/1823,12/08/1823,9,1,888,888,888,888,888,888,888,888,888,888,888,888,888,1,55,32,2,888,"Livingston, Henry Brockholst",5,2,0.129999995,888,888,18,1,0.043000001,888,888,888,888,888,888,888,888,888. NO REFERRAL,888,888. NO REFERRAL,888,888,888,12/09/1823,1,666,666,1,888. NOMINATION NOT WITHDRAWN,02/10/1824,12/18/1843,75,3,777,"Nelson, Samuel",12/18/1843,285,32,75
"Trimble, Robert",1826,1,0,1,33,1,7.02,21,888,11/17/1776,1776,388,46,119,17,2,2,0,10,19,0,0,"McMillan, Mary","Trimble, William",27,12,1,99,1,1797,1,888,888,888,888,888,888,888,888,"Brown, James",17,1803,2,1,"Timberlake, Nancy",1803,10,888,0,888,888,888,0,17,1803,888,888,888,888,1,17,4,1,17,4,888,888,0,888,888,0,888,888,888,0,888,0,17,2,17,2,9,888,0,888,0,888,0,0,0,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,888,888,0,888,0,17,4,888,0,888,0,888,888,888,888,0,888,0,888,0,888,0,17,0,888,0,888,0,04/11/1826,04/12/1826,5,14,888,888,888,888,888,888,888,888,888,888,888,888,888,9,49,17,2,888,"Todd, Thomas",6,2,0.395999998,888,888,19,1,0.123000003,888,888,888,888,888,888,888,888,888. NO REFERRAL,888,888. NO REFERRAL,888,888,888,05/09/1826,2,27,5,1,888. NOMINATION NOT WITHDRAWN,06/16/1826,08/25/1828,51,3,777,"McLean, John",08/25/1828,126,17,51
"Crittenden, John",1828,1,0,0,34,1,7.03,888,888,09/10/1786,1786,128,17,128,17,2,4,0,11,27,0,0,"Harris, Judith","Crittenden, John",19,3,2,114,2,1807,2,888,888,888,888,888,888,888,888,"Bibb, George M.",17,1804,1,3,"Ashley, Elizabeth Moss",1853,9,7,1,18,2,888,0,17,1807,888,888,888,888,1,17,1,1,17,8,888,888,0,888,888,0,888,888,888,0,888,0,888,0,888,888,0,888,0,888,0,2,1,0,0,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,17,2,777,0,0,888,0,888,0,888,888,0,888,0,888,0,888,0,13,1,888,888,888,888,0,888,0,888,0,888,0,17,6,888,0,888,0,12/17/1828,12/18/1828,888,888,888,888,888,888,888,1,888,888,888,888,888,888,888,2,41,17,2,888,"Trimble, Robert",6,2,0.395999998,888,888,20,1,0.119999997,888,888,888,888,888,888,888,888,666. NO RECORD OF HEARING,666,01/26/1829,3,888,888,02/12/1829,3,17,23,3,888. NOMINATION NOT WITHDRAWN,888. NOT CONFIRMED OR DIDN'T SERVE,888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE,888,888,888,888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE,07/26/1863,118,17,76
"McLean, John",1829,1,0,1,35,1,7.04,22,888,03/11/1785,1785,254,30,999,46,2,2,0,9,22,0,0,"Blackford, Sophia","McLean, Fergus",43,888,888,888,888,888,888,888,888,888,888,888,888,888,888,"St. Clair, Arthur, Jr.",35,1806,2,2,"Gerrard, Sarah Bellow Ludlow",1843,8,888,0,888,888,888,0,35,1807,888,888,888,888,1,35,4,777,777,0,888,888,0,888,888,0,888,888,888,0,888,0,35,6,888,888,0,888,0,888,0,888,0,0,0,0,0,888,0,17,6,27,1,27,1,0,35,3,777,0,888,0,888,0,0,888,0,888,0,888,888,0,888,0,888,0,888,0,888,0,888,888,888,888,0,888,0,888,0,888,0,888,0,888,0,888,0,03/06/1829,03/06/1829,888,888,888,888,888,888,888,888,888,888,888,888,888,888,4,6,43,35,1,2,"Trimble, Robert",7,1,-0.25,888,888,21,1,0.032000002,888,888,888,888,888,888,888,888,888. NO REFERRAL,888,888. NO REFERRAL,888,888,888,03/07/1829,1,666,666,1,888. NOMINATION NOT WITHDRAWN,01/11/1830,04/04/1861,76,3,777,"Swayne, Noah Haynes",04/04/1861,308,35,76
"Baldwin, Henry",1830,1,0,1,36,1,4.04,23,888,01/14/1780,1780,44,7,44,7,1,2,0,6,4,0,0,"Wolcott, Theodora","Baldwin, Michael",38,888,888,117,2,1797,1,888,888,888,888,888,888,888,888,"Dallas, Alexander",38,1798,1,2,"Ellicott, Sally",1805,1,888,0,888,888,888,0,38,1798,888,888,888,888,3,38,18,3,38,7,888,888,0,888,888,0,888,888,888,0,888,0,888,0,888,888,0,888,0,888,0,888,0,0,0,0,0,888,0,888,0,888,0,888,0,0,38,5,777,0,888,0,888,0,0,888,0,888,0,888,888,0,888,0,38,2,888,0,888,0,888,888,888,888,0,888,0,888,0,888,0,888,0,888,0,888,0,01/05/1830,01/05/1830,888,888,888,3,38,888,888,888,888,888,888,888,888,888,888,7,49,38,1,3,"Washington, Bushrod",7,1,-0.25,888,888,21,1,0.032000002,888,888,888,888,888,888,888,888,888. NO REFERRAL,888,888. NO REFERRAL,888,888,888,01/05/1830,2,41,2,1,888. NOMINATION NOT WITHDRAWN,01/18/1830,04/21/1844,64,3,777,"Grier, Robert Cooper",04/21/1844,326,38,64
"Wayne, James Moore",1835,1,0,1,37,1,6.05,24,888,999. UNKNOWN,1790,70,10,70,10,6,5,0,6,4,0,0,"Clifford, Elizabeth","Wayne, Richard",28,12,1,85,2,1808,1,888,888,888,888,888,888,888,888,"Chauncey, Charles",7,1810,2,1,"Campbell, Mary Johnson",1813,3,6,0,2,2,888,0,10,1810,888,888,888,888,3,10,6,3,10,3,888,888,0,888,888,0,888,888,10,8,888,0,888,0,888,888,0,888,0,888,0,888,0,0,0,0,0,888,0,888,0,888,0,888,0,0,10,6,777,0,888,0,888,0,0,888,0,888,0,888,888,0,888,0,888,0,888,0,888,0,888,888,888,888,0,888,0,70,2,888,0,10,1,888,0,888,0,01/06/1835,01/07/1835,888,888,888,888,888,888,888,888,1,10,888,888,888,888,888,6,45,10,1,888,"Johnson, William",7,1,-0.25,888,888,23,8,-0.0015,888,888,888,888,888,888,888,888,666. NO RECORD OF HEARING,666,01/09/1835,1,888,888,01/09/1835,1,666,666,1,888. NOMINATION NOT WITHDRAWN,01/14/1835,07/05/1867,77,3,777,"Bradley, Joseph P.",07/05/1867,55,51,77
"Taney, Roger Brooke",1835,1,0,0,38,1,5.04,25,888,03/17/1777,1777,162,20,162,20,6,5,0,13,4,0,0,"Brooke, Monica","Taney, Michael",42,11,1,37,2,1795,1,888,888,888,888,888,888,888,888,"Chase, Jeremiah",20,1798,1,1,"Key, Anne P.C.",1806,7,888,0,888,888,888,0,20,1799,888,888,888,888,1,20,24,1,20,3,888,888,0,888,888,0,888,888,888,0,888,0,888,0,888,888,0,888,0,888,0,888,0,0,0,0,2,888,0,24,1,888,0,888,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,888,888,0,888,0,888,0,888,0,20,4,888,888,888,888,0,888,0,888,0,20,5,20,1,888,0,888,0,01/15/1835,01/15/1835,888,888,888,1,20,888,888,888,888,888,888,888,888,888,888,2,57,20,1,3,"Duvall, Gabriel",7,1,-0.25,888,888,23,8,-0.0015,888,888,888,888,888,888,888,888,888. NO REFERRAL,888,888. NO REFERRAL,888,888,888,03/03/1835,3,21,24,3,888. NOMINATION NOT WITHDRAWN,888. NOT CONFIRMED OR DIDN'T SERVE,888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE,888,888,888,888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE,10/12/1864,55,51,87
"Taney, Roger Brooke",1835,0,0,1,39,2,1.08,25,888,03/17/1777,1777,162,20,162,20,6,5,0,13,4,0,0,"Brooke, Monica","Taney, Michael",42,11,1,37,2,1795,1,888,888,888,888,888,888,888,888,"Chase, Jeremiah",20,1798,1,1,"Key, Anne P.C.",1806,7,888,0,888,888,888,0,20,1799,888,888,888,888,1,20,24,1,20,3,888,888,0,888,888,0,888,888,888,0,888,0,888,0,888,888,0,888,0,888,0,888,0,0,0,0,2,888,0,24,1,888,0,888,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,888,888,0,888,0,888,0,888,0,20,4,888,888,888,888,0,888,0,888,0,20,5,20,1,888,0,888,0,12/28/1835,12/28/1835,888,888,888,1,20,888,888,888,888,888,888,888,888,888,888,2,58,20,1,3,"Marshall, John",7,1,-0.25,888,888,24,1,-0.172000006,888,888,888,888,888,888,888,888,666. NO RECORD OF HEARING,666,01/05/1836,1,888,888,03/15/1836,2,29,15,1,888. NOMINATION NOT WITHDRAWN,03/28/1836,10/12/1864,87,3,777,"Chase, Salmon Portland",10/12/1864,55,51,87
"Barbour, Philip Pendelton",1835,1,0,1,40,1,5.05,26,888,05/25/1783,1783,394,46,394,46,1,5,1,6,19,0,0,"Thomas, Mary P.","Barbour, Thomas",28,11,1,114,1,1801,1,888,888,888,888,888,888,888,888,Self taught,46,1800,777,1,"Johnson, Frances Todd",1804,7,888,0,888,888,888,0,46,1800,888,888,888,888,1,17,1,1,46,10,888,888,0,888,888,0,888,888,46,2,888,0,888,0,46,9,6,888,0,888,0,888,0,0,0,0,0,888,0,888,0,888,0,888,0,0,46,11,46,3,888,0,888,0,0,888,0,888,0,888,888,0,888,0,888,0,888,0,888,0,888,888,888,888,0,888,0,888,0,888,0,46,2,888,0,9,1,12/28/1835,12/28/1835,5,16,888,888,888,888,888,888,888,888,888,888,888,888,888,6,51,46,1,2,"Duvall, Gabriel",7,1,-0.25,888,888,24,1,-0.172000006,888,888,888,888,888,888,888,888,666. NO RECORD OF HEARING,666,01/05/1836,1,888,888,03/15/1836,2,30,11,1,888. NOMINATION NOT WITHDRAWN,05/12/1836,02/25/1841,57,3,777,"Daniel, Peter Vivian",02/25/1841,55,51,57
"Smith, William",1837,1,0,0,41,1,9.01,888,888,999. UNKNOWN,1762,999,33,352,40,3,1,0,999,8,0,0,999. UNKNOWN,999. UNKNOWN,999,999,999,888,888,888,888,888,888,888,888,888,888,888,888,999. UNKNOWN,40,1784,999,1,"Duff, Margaret",1781,1,888,0,888,888,888,0,40,1784,888,888,888,888,1,40,24,777,777,0,888,888,0,888,888,0,888,888,40,8,888,0,888,0,888,888,0,888,0,888,0,888,0,0,0,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,40,7,40,5,0,888,0,888,0,888,888,0,888,0,888,0,888,0,888,0,888,888,888,888,0,888,0,888,0,40,6,40,1,888,0,888,0,03/03/1837,03/03/1837,888,888,888,888,888,888,888,888,888,888,1,1,888,888,888,2,75,1,1,888,NEWLY CREATED SEAT,7,1,-0.25,888,888,24,1,-0.172000006,888,888,888,888,888,888,888,888,666. NO RECORD OF HEARING,666,03/08/1837,1,888,888,03/08/1837,2,23,18,2,888. NOMINATION NOT WITHDRAWN,888. NOT CONFIRMED OR DIDN'T SERVE,888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE,888,888,888,888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE,06/26/1840,3,1,78
"Catron, John",1837,1,0,1,42,1,8.01,27,888,999. UNKNOWN,1786,999,38,999,46,2,1,0,10,13,0,0,999. UNKNOWN,"Catron, Peter",38,888,888,888,888,888,888,888,888,888,888,888,888,888,888,Self taught,42,1814,777,1,"Childress, Mary",1807,0,1,0,5,2,888,0,42,1815,888,888,888,888,1,42,3,1,42,3,888,888,0,888,888,0,888,888,888,0,888,0,42,10,888,888,0,888,0,888,0,888,0,0,0,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,888,888,0,888,0,42,3,888,0,888,0,888,888,888,888,0,888,0,888,0,888,0,888,0,888,0,888,0,03/03/1837,03/03/1837,888,888,888,1,42,888,888,888,888,888,888,888,888,888,888,3,51,42,1,888,NEWLY CREATED SEAT,7,1,-0.25,888,888,24,1,-0.172000006,888,888,888,888,888,888,888,888,666. NO RECORD OF HEARING,666,03/08/1837,1,888,888,03/08/1837,2,28,15,1,888. NOMINATION NOT WITHDRAWN,05/01/1837,05/30/1865,79,3,777,777. SEAT ABOLISHED,05/30/1865,364,42,79
"McKinley, John",1837,1,1,888,43,1,9.02,28,888,05/01/1780,1780,389,46,120,17,2,4,0,11,19,0,0,"Logan, Mary","McKinley, Andrew",26,888,888,888,888,888,888,888,888,888,888,888,888,888,888,Self taught,17,1800,777,2,"Armistead, Elizabeth",999,999,888,0,888,888,888,0,17,1800,888,888,888,888,1,17,18,1,1,8,888,888,0,888,888,0,888,888,888,0,888,0,888,0,888,888,0,888,0,888,0,888,0,0,0,0,0,888,0,888,0,888,0,888,0,0,1,2,777,0,1,5,1,0,0,888,0,888,0,888,888,0,888,0,888,0,888,0,888,0,888,888,888,888,0,888,0,888,0,888,0,1,2,888,0,888,0,04/22/1837,RECESS APPT,888,888,888,888,888,888,888,888,2,1,888,888,888,888,888,0,56,1,1,888,NEWLY CREATED SEAT,8,1,0.104999997,888,888,25,1,-0.256000012,888,888,888,888,888,777,777,777,777. RECESS APPOINTMENT,777,777. RECESS APPOINTMENT,777,777,777,777. RECESS APPT,777,777,777,777,777. RECESS APPOINTMENT,999. UNCLEAR,01/09/1838,58,13,9,666. RECESS APPOINTEE REPLACED HIMSELF,07/19/1852,122,17,72
